created_at,full_text,year
2020-05-11,@Chynnob_ Sunda versi NGEWE ANYINGGG GELUD WAE LAH HAYUUUU BANGSATTT NGAN SAUKUR KITU HUNGKUL DI PERMASALAHKEUN GOBLOGG!! LAGIAN AING TEU NYOKOT TI TULISAN NU SIA JIEUN SIA TEU RUGI SIA TEU KALEUNGITAN NANAON BAJINGANNN!! RIBET PISAN KONTOL IEU LAIN SKRIPSI ANU KUDU DI NILAI AHHH BANGSAT,2020
2020-01-03,Indonesia Kontol Sunda pro,2020
2020-05-10,@zz_horizon selebtwit kontol bacot lo sunda,2020
2020-04-28,@vvip_neraka Gapunya kontol kak bukan laki kayaknya (Sunda halus) gimana sih dakjal tinggal di tatar pasundan ngemodusin cowo sunda bisa bahasanya ga belajar wkwk.,2020
2020-02-20,@liaaekaptr Macem kontol semua,2020
2020-10-06,Sunda empire tolong dong satet dpr kontol itu,2020
2020-03-22,@rakajunico @Justintambunan7 Kontol,2020
2020-08-25,@jiansblh @justintmbn Iyah nih 18 kontol,2020
2020-12-15,Bangsat apa apaan ini ada yang kirim pap kontol ke gua. Gua laki anjing.,2020
2020-05-11,@Chynnob_ sunda:NGENTOD ANJENG GELUD WAE LAH HAYUUU BANGSAT UKUR PERKARA JIGA KITU HUNGKUL DIPERMASALAHKEUN JIANCOK!! BARINAGE YEUH AING TEU NYOKOT TINA TULISAN NU DIJIEUN SIA SIA TEU RUGI SIA TEU KALEUNGITAN NANAON BAJINGAN!! RIBET PISAN KONTOL IEU LAIN SKRIPSI NU KUDU DI NILAI AH BANGSAT,2020
2020-05-23,@fandyMoeh @WeganantaRizky @jawafess Sunda pro : kontol sia anying,2020
2020-05-11,@Chynnob_ translate sunda: NGAWEKUK ANYING GELUD WE HAYU BANGSAT NGAN KITU HUNGKUL GE DI MASALAHKEUN KOPLOK!!!! BARINAGE YEUH AING TEU NYOKOT TI SERATAN NU MANEH JIEUN MANEH TEU RUGI NANAON TANGKURAK RIBET PISAN KONTOL IEU TEH LAIN SKRIPSI ANU KUDU DI NILAI AH BANGSAT,2020
2020-04-16,Kamus basa sunda. Titit = Kecil Kanjut = sedang Kontol = besar #titit,2020
2020-10-07,@Hilmi28 Bosen HTI terus sekali2 mengambinghitamkan Sunda Empire gitu,2020
2020-04-19,Sapik kontol.,2020
2020-07-11,Njing kontol gua kesemutaaaan arrrgghhh,2020
2020-11-03,@ojol_fake Anjiiirrr mantap bngt kontolnya pingin deh punya kontol gede kaya gtu,2020
2020-06-28,@riksptraaa 2 3 teh botol Kontol,2020
2020-08-06,Adeueueueh gayssss kalo bangun fagi begini hadeuh ieu kontol semakin heuras anjriit,2020
2020-06-30,u semua kontol kecuali orang sunda️,2020
2020-04-17,@japetgaadaobat @scorpiliciouss Kontol,2020
2020-05-03,@hendralm @inxekyur Apa benar ini gambar kontol?,2020
2020-12-23,@Miftrash sunda kontol,2020
2020-04-28,Video gay nya mantap mantap kakak kakak yth Indonesia pilih lah kontol nya kakak kakak Indonesia yang berkontol gede panjang jembot lebat ya kakak yth...,2020
2020-06-27,Kontol.,2020
2020-11-01,@pergijauh Kontol kecil banyak gaya,2020
2020-02-05,@subtanyarl Gw salfok anjir baca kata mamas:( kalau bahasa sunda mamas itu kontol:'),2020
2020-03-27,@FiersaBesari Kontol kalo bhs sunda apa bung?,2020
2020-05-21,@AuzanDeeva bhsa sunda ya kontol bebek,2020
2020-05-31,Gak jelas lu kontol https://t.co/qKCCbQtfji,2020
2020-12-18,@txtdarisisange Ngentot kenapa bawa bawa sunda kontol,2020
2020-07-14,@subtanyarl Dalam bahasa sunda mamas itu artinya kontol,2020
2020-05-15,@lovelaughboy Kontol bhsa sunda,2020
2020-05-23,Ngobrol sama anak sikel kontol @arthapendragon https://t.co/0apGvDxCbd,2020
2020-05-13,Mamas itu bahasa sunda alus yg artinya kontol,2020
2020-10-20,@arthaistt @popularloner31 @earlrahman_ @LalaZalba @justintmbn @cimooot__ kontol,2020
2020-08-16,@persib Sia dihina di lelewe ku si oren ngajedog wae kontol kesel anjing sunda te bisa inggris te bisa mah ges indonesia we bodo :(,2020
