created_at,full_text,year
2023-06-23,@DahnaCanta Sunda kontol,2023
2023-12-04,Khunu. https://t.co/fGhud1cCfx,2023
2023-11-24,KERRY（？,2023
2023-03-07,@MrBekalicky89 Dih kontol dikira alam kembali normal setelah lu bayar pake duit pendaftaran yang ga seberapa itu kali? Katanya Tuhan menciptakan tataran sunda dalam keadaan tersenyum tapi tatarannya dirusak apakah ga bikin tuhan marah?,2023
2023-10-08,Bangga bisa mengunjungi Danau ber-Kanjut (kanjut bahasa sunda kasarnya kontol) https://t.co/zt2fsNaUBz,2023
2023-11-29,@230_ui minimal bta ga cabut jing jawir,2023
2023-09-16,@Blackburger_28 Lah faktanya memang 80 persen pasukan yang dikirimkan buat invasi papua tu kan JAWA sisanya OAP kolaborator sama pasukan dari wilayah jajahan lain dan dr dulu keturunan jawa ini memang kontol keturunan lonte lonte yang di cpur sama darah londo makanya sifatnya ga jauh dr londo,2023
2023-11-25,@LKTAAIL sema nifeel better juu what the actual fucksikumbuki kaa nilikuwa nimekazwa hivo,2023
2023-11-24,@aeyakovenko Toly jawa artinya kontol peli,2023
2023-10-24,anjg lupa ada quiz kontol,2023
2023-03-01,@SUNDA_FESS wkwkw najis kontol gada duitnya laki buang sj,2023
2023-11-03,Dating history 2019. Aa sunda. Sekarang jd seleb 2019. Orang baik. Tp ternyata w selingkuhan brgsk. Dia udang meninggal 2020. Sama anak mercu. Putus karena dia deket sm mantannya gebetannya lg Udah jing. Segitu doang. Sisanya ngalor ngidul sampe skrg dighosting emang kontol.,2023
2023-11-29,pnya org2 spotify na kok bgus2 y lagu ny mo coba dngerin,2023
2023-09-27,@nobrainflip @PrimordialAA kontol,2023
2023-11-29,@kaedeharoa mim fesbuk vibes wkwkwk,2023
2023-10-22,@rend123_ @FOODFESS2 Kalau orang Jawa pake istilah aneh unik sesuai bentuknya semisal Balung Kethek Kontol Kejepit Bol Kaji Turuk Bintul Rondo Royal Duda Keplengkang.,2023
2023-12-05,Citah,2023
2023-08-03,@SUNDA_FESS Kontol,2023
2023-05-05,@_as_livin @tanyakanrl Katanya kontol orang sunda kecil kecil tapi gw bantah,2023
2023-06-03,G SAMA Y SUNDA KONTOL,2023
2023-11-29,gwe tdi dtanya kang barber ngko ambu udan op gk trs kjwb nak perkiraan ku jam semene gng ujan biasane jam 12 jam 1 an ujan e metu soale mau gng mambu trs orngna blg ohh siap mas hooh ketok e dan akhirna skrg ujan. kekny cocok ak ramal2 org,2023
2023-11-15,@whorentottt enak kelamin ras cina rendahan lu lg gua tonjokin pake kontol jawa gua? https://t.co/d3823NLSAS,2023
2023-04-15,@historia_id @gombang Jangankan kerajaan Belanda Sunda Empire aja pernah,2023
2023-09-08,ga kebayang kalo kontol top sunda gmn.. bisa bisa bikin bot nya mengeluarkan bunyi prasmanan sunda,2023
2023-08-31,@BoyzFess_ Kontol sunda rasanya gimana nder,2023
2023-11-24,@AmaniKimario1 Nitext tena Kule trxt nyingi alf kufungua ndo kipengele sasa,2023
2023-12-04,@laguzen Mau hya di negro in,2023
2023-11-29,@HASPhD Allah a kara daukaka,2023
2023-11-29,@lilaccountz Bener kemarin lewat video rajin solat 5 waktu tapi gay. Ya terus kalau gitu masa yg lain jadi takut solat? Gelo deh.,2023
2023-12-05,@h_sunsh Mai pkena ayam negro... https://t.co/tusDLWMkSB,2023
2023-11-25,I hope to become a country for people. Myanmar Saudi Syria Kazakhstan Afghanistan India Japan Yemen Lebanon Iran Isrel Palestine China North Korea South Korea Ethiopia Sudan Uganda Rwanda Kenya Nigeria Niger Congo Belarus Russia Haiti Americas!,2023
2023-11-23,@mk_shafii Niger nika bi hwa inje Kebbi makka no talk .,2023
2023-11-29,@stephanusn @mawakresna Komen jujur . sebenernya politik identitas cuma karena belio manfaatin buat raih suara aja. aslinya beliau sangat plural. Masuk semua kalangan dan agama gue pribadi yg khawatir soal kinerjanya doang. itu aja,2023
2023-12-05,@yahelena_ Iti malia,2023
2023-07-23,@hyuckrenpdf @hyuckrencityyy ga semua daerah di jabar pake b.sunda ya kontol,2023
2023-09-17,@L0_JAWA @PrimordialAA kesuwen kontol,2023
2023-11-28,Utawala wa kijeshi #Niger umebatilisha sheria ya kudhibiti uhamiaji nchini humo ambayo iliharamisha kusafirishwa kwa wahamiaji kupitia nchi hiyo. Utawala huo ilitangaza kufuta sheria hiyo katika taarifa yake ukibainisha kuwa kiongozi wa kijeshi Jenerali Abdourahamane Tchiani https://t.co/x3rLCc3rk0,2023
2023-12-04,@lunogx orang negro itu mah keliatan dari rambut sama kulitnya,2023
2023-11-23,@jasonrowphoto Sharjah UAE https://t.co/CCG1WMCKQD,2023
2023-11-28,@FaktaSepakbola Definisi semifinal rasa final...apakah final bakal lebih seru dr ini?? Hmmm..kita liat saja gw prefer mali sih dr france soalnya ada kasus pemain yg maen buat u17 niger itu..,2023
2023-04-30,@skeptisyit Ono si sunda juga kaya kontol,2023
2023-02-02,@rowseemi @convomfs @tyosungie @hypocritesm btw gw sunda kontol,2023
2023-12-03,@EuAngola Shrek negro eh sacanagem kkkkkkkkk,2023
2023-11-24,@lenambelas_16 @SoftWarNews Aljazair membela negara Niger bersama Burkina Faso karena bersengketa dengan mantan penjajah nya @EmmanuelMacron Prancis. Tak satupun negara Eropa berani nantangin Afrika untuk berperang.,2023
2023-12-03,@StevenMbosa @CloudsMediaLive We all respect Chidi Nahatupendi hiyo Hali yake lakini hapa duniani Huawezi bebesha mwenzio lawama kiasi kile kama anavyoforce kwa interview hii au hujamsikiliza kaka,2023
2023-12-05,Money trumps dijara,2023
2023-09-27,@antajriksa @txtdaripelajar GUA UDAH LIAT GUA EMOSI BGT Mana pas dia berantem ampe dia tegolek tu kek mau dipisahkan nah cowo ini bilang gini pake basa sunda (klo ga slh) gausah misahin yg misahin berantem sama aku SOK KERAS BGT BANGSAT ANAK BOCAH KONTOL SETENGAH KELINGKING,2023
2023-12-05,Bodega sa Engineering motorpool sang probinsya ang natukiban ginkawatan. Masobra sa 400 000 pesos nga balor sang mga battery sa salakyan kag motor oil ang ginkawat. https://t.co/M8hW2b9M7f,2023
2023-08-04,@SUNDA_FESS 1. KONTOL 2. KONTOL 3. KONTOL 4. KONTOL Hampura keur kareuheul,2023
2023-08-03,Hah.... Jadi keinget lagi bangsat sus bgt kalo pake bahasa sunda gini bakal keinget trs sama si selengkiannya itu babi. Sok iye bgt lu kontol,2023
2023-06-03,SUNDA KONTOL,2023
2023-04-09,@SUNDA_FESS Control your kontol anjing!,2023
2023-10-21,@hostage124 @madmedmad_ @sansOnlski Gass spill kontol banget orang orang yang normalisasi rasis jawa,2023
2023-12-04,@kompascom Kan AR sudah bilang itu pertemuan tidak resmi dipanggil juga lewatcmesjid kevil di belakang !!!sok2an perintahkannsetneg cek ya jelas tidak tercatat kakau berani buka cctv,2023
2023-04-14,@Julian51758164 @Srikandi_sunda Emang kontol preman cukai,2023
2023-11-29,@themraqua @jawir_ncuk Su i aaaaaaaaaaaa Ulahmu pokok mas,2023
2023-12-04,@_keRatu WamCheatelelani pho?,2023
2023-11-29,@abd_afw_ @shkbmntr Klo bagi pencari wifi cari kafe yg suasanany sepi klo pas lagi rame pengunjung biasanya lemot Klo gak duduknya yg dket sama jaringan wifi nya Klo disana w jg gak pake wifi nya jd kurang tau jg,2023
2023-12-05,Bakit Negros Occ? Binaha ba? Nasunugan ba?,2023
2023-11-25,@Naurafayruzya Zionis sudah bukan GALUR MURNI lagi DNA nya...mereka sdh campuran eropah bahkan dgn maccaca niger juga...,2023
2023-11-09,@botakcurious @leezrhmn @BuletinTV3 Anjing lu bangsat! Kejadian di Kelantan tp sebut2 jawa..Kontol lu!,2023
2023-08-03,@SUNDA_FESS KONTOL,2023
2023-06-04,@krcboys @SUNDA_FESS lain ngalepas deui harga diri geus nepika dijejekan bebelaan cinta halah kontol,2023
2023-11-24,@abuu__98 Interface inakupa pesa sio,2023
2023-11-25,Ado Ekiti Shimawa Atan-Ota Shagamu Papalanto Ijebu Ode Ologuneru Asejire Ibadan Abuja &amp; Nasarawa Niger.,2023
2023-04-28,@int3rmi kontol me depok pala me sunda badan me cina,2023
2023-06-09,@SUNDA_FESS kontol,2023
2023-11-14,@tanyakanrl Aku gak paham bahasa Jawa. Jadi lebih baik kamu balas dengan bahasa Jawa yang mudah dipahami yaitu kontol koe mas,2023
2023-04-30,@skeptisyit @tanyakanrl Kontol sunda,2023
2023-09-20,@denni_sauya @ch_chotimah2 @ganjarpranowo MUTER GIMANA ? PERNYATAAN GANJAR YG LEBIH IRONIS MEMPERKUAT KPK DENGAN DIISI DENGAN KADER KADER YG TERLIBAT KORUP ? THINK SMART JAWA KONTOL,2023
2023-11-23,@Reivan_ozy__ @tanyarlfes Klo lu mau berargumen belajar sampaikan pointnya jgn cuma kontol otak mati jelas jelas argumen lu gak berisi. Point gue bersikap itu butuh kemantapan dan kemandirian. Klo masih mikir cicilan sih sana aja lu macul lahan di jawa kurang banyak tenaga kerja,2023
2023-06-08,Kan kan sunda tu kontol anjir https://t.co/hEC5RUjS7D,2023
2023-06-06,LU PERNAH GAKSIH TEMEN SUNDA LU PUN KEK KONTOL https://t.co/e9QGh3e1Mk,2023
2023-11-29,kangen mas jawir dah,2023
2023-02-01,@SUNDA_FESS Yang penting punya kontol,2023
2023-12-04,@Anele Ngiyayithanda le ngubo yakhe engathi yi airbag ye etios,2023
2023-12-16,@AriestyantoHP @TommyPato7 @sosmedkeras Aksen gua sunda- indo. Lu ngapa si buzzer keselek kontol lu ? Lu goblok dari lahir kyk nya orang mah cerna apa yg gua ketik malah fokus ke hurup kapital tolol.,2023
2023-11-22,@SUNDA_FESS KONTOL KAN MAKSUD SIA MAH NDER,2023
2023-11-23,Kazaliwa Uingereza so DR Congo wanakosea? Si ndio? Hii ni football! Acha chuki zako na roho mbaya ni biashara kubwa ndio maana sheria za FIFA zinatengeneza mazingira haya hili watu wapate second change! Punguza roho ya kimasikini! Aliefunga goli la @TaifaStars_ dhidi ya Niger https://t.co/wQUdehWfWh,2023
2023-09-21,cpns cpns kontol bodo amat aku mau gabung trio macan.,2023
2023-03-30,@Nex_Rjp @_mastito Tapi lu masih tinggal dipulau jawa??? Itu namanya KONTOL!!! ni gua kasih tau ma elu ya orang macen kaya gitu (makan bini temen) mau dia org Jawa cina Timor Sunda Bali atau apalah sukunya.. kalo udah gak tahan sama SELANGKANGAN dia termasuk kaum KADRUN wkwkwkwkwk,2023
2023-03-02,@SUNDA_FESS In tasikmalaya we have kontol bangkong https://t.co/Zl66rKIAeV,2023
2023-02-20,@opiateslord berisik lu kontol minggu depan udah gabisa ngatain sunda blonde lg,2023
2023-12-05,@maudiwleowleo @efwebesofficial Cewe negro juga suka modelan rihana atau cardi B jangan samakan aku sama laki laki lain,2023
2023-11-23,@BayelsanPride Timaya,2023
2023-11-29,@xxgh_ra @kdrama_menfess Manhwa apa kap?,2023
2023-05-16,@guzshots Klo ini punya kontol super banget mantap mentokanya,2023
2023-06-04,@kangcibay @SUNDA_FESS Asa ngelepas harga diri asli ka alaman ku urg sarua deui ktu ajikk ahhh kontol,2023
2023-11-29,p mas jawir https://t.co/KDybsgnOfn,2023
2023-12-03,Teams Jin debut era: @taegintonic Jin mots persona era: @sweetkthland Jin butter era: @hxml97 Jin ptd era: @minniesnx jin Proof era: @bngtn_week jin the astronaut era: @thvmnk ( Yo) Jin pelito negro: @ikoojoon,2023
2023-11-29,Konser2 kpop dan artis barat setauku dulu ada yg ngetweet lebih murah di korsel tp lupa yg ngetweet siapa.,2023
2023-12-04,@xxeeosaa Sama org negro sono..,2023
2023-01-17,Waduh agak kontol nih min (((melihat k arah deadline pengumpulan laporan hasil bazar tugas kelompok baru naskah sunda paragraf aksara rencana penugasan teater sunda tugas rangkuman 10 lembar untuk besok))),2023
2023-05-04,kontol sunda pake segala ada tugas lg abjingan,2023
2023-05-01,ini jadi lapak hate buat org sunda wkwkw konyol. orang lain yg ga ngerasa orang sunda begitu bakal mikir jelek ke orang sunda lainnya padahal gak semua org sunda begitu. kontol ni akun,2023
2023-11-03,- gak usah ngerasa rendah buat benci jawa - gak usah ngikutin sjw buat benci jawa - apa lagi masalah agama Benci jawa mah cukup liat keluarga sendiri ajatanpa intervensi dari pihak lain jawa emang kontol!,2023
2023-12-04,Yuki usando o buraco negro,2023
2023-11-29,pean nyeluk a sepurane tk tinggal merantau diluk https://t.co/0yX6JW6Jct,2023
2023-11-22,kontol ima blacklist mas mas jawa kacamata,2023
2023-12-03,@negromangueraa Nawara negro tu hermana es bonita,2023
2023-11-24,Pernah Main untuk Niger U-17 Pemain Prancis U-17 di Piala Dunia U-17 2023 Dilaporkan ke FIFA: Memang Enggak Boleh? https://t.co/mIn9X76XFw,2023
2023-11-24,@SimbaSCTanzania Unaambiwaje huyu jamaa ata wachezaji wabaki wawili uwanjani anambinu yakufanya tushinde Well come kamanda,2023
2023-11-29,@jawir_ncuk Kenapa jonine mas,2023
2023-11-29,@0verseass jawir,2023
2023-11-29,@Mambausman @_hafsat_paki Ok Niger kenan,2023
2023-12-03,@negrette_negro @CloudsMediaLive Nafikiri hili tatizo alijawahi kumtokea mtu katika familia yako ndiyo maana una mhukumu jamaa Kaka cheka sana furahi sana ila omba tatizo ambalo chidy analo lisitokee katika familia yako hautahukumu hata mara moja.,2023
2023-11-29,@idextratime Menolak lupa kejadian malam itu di stamford bridge dengan wasit Ovrebo,2023
2023-11-29,@jawir_ncuk Cuman kayak sewa mesin cuci gt laundry self service kalo pake tangan mah cape,2023
2023-12-05,Wokezinha= negros??????,2023
2023-12-03,@extiwastaken Igual si sos negro.png,2023
2023-11-29,aku hanya mas mas jawir yang senang jeketi https://t.co/gPFtZefjXU,2023
2023-11-23,Chile Mexico Peru Niger Uzbekistan,2023
2023-11-29,@Branicemercy Rubani hajawahi nyamaza hivi That nigger is the camera man! Hii ni agenda,2023
2023-11-19,wekwan lo gitu terus gue beneran bakar ya gedung lo anjing. Timbang perkara tulisan???? Besok besok gue ajarin anak anak aksara jawa lo mau apa kontol?,2023
2023-10-14,@Nastarsyawalan @0tk0il Rangkuman Kontol : b. Jawa Titit : b. China,2023
2023-10-18,Motovlog motovlog kontol lah anjing keadaan lampu merah hbis lewat rel Sunda udh pelan2 gw bawa udh pake sein kanan dia nyalip dri pling kanan ngeklakson panjang taiii. Udh tau merah juga pake rusuh2 ngeklakson pdhl mau brenti juga dia bngst.,2023
