created_at,full_text,year
2022-06-26,@SUNDA_FESS Molen kontol,2022
2022-09-12,Mobel lejen permainan modelan kontol anjg. Bener bener tolol anjg yg main game kontol Terutama Zhaks anjg top lokal jawa tengah ke 45 maennya kek tolol https://t.co/kzUk4mtomb,2022
2022-11-21,@higgsdomino_id CINA KONTOL ANJENGGG!!!,2022
2022-12-02,@yusnard93291953 @KompasTV Bersyukur lah cina investasi di Indonesia sehingga banyak lapangan kerja terbuka. Arab apa???? Kontol bahlul sj,2022
2022-09-06,@dika_sumendraa @SUNDA_FESS Siapa tau kontol,2022
2022-06-11,e kontol org jawa disini jg udh modifikasi makanan cina. lu kata makanan indo terinspirasi dari mana? israel? lu makan bakso bakmi itu semua ada BAK nya ya krn emg harusnya BABI tp dimodifikasi jadi sapi lah ayam lah.,2022
2022-09-21,@AhmZaaky Jawa tetep ini arab bos gua kek kontol,2022
2022-10-02,Bener kan...... COPOT KAPOLDA JATIM IWAN BULE TOLOL KONTOL CAGUB JAWA BARAT . https://t.co/LTNoDvISp2,2022
2022-09-06,@karirfess Jgn kek kontol dh,2022
2022-02-28,@SUNDA_FESS 1.kantol 2.kontol 3.kontok 4.kentol,2022
2022-08-02,masa dateng ke gue kalo lg gabut doang si lucu euy aa sunda kontol kontol wae si dareen mah bulol,2022
2022-01-28,@danangnuryana2 Kontol gadapet duit goblog,2022
2022-02-28,@SUNDA_FESS kontol semua,2022
2022-09-28,@SUNDA_FESS Kontol,2022
2022-05-27,Cina tolol cina kontol,2022
2022-10-08,@memefess cina kontol,2022
2022-11-30,@bdbh1307 @sileosaa @faizsadad_ ya mungkin itu di bahasamu di basa sunda kontol ya kontol,2022
2022-04-19,@KuroNekoBanser @quantipian Jawa Sunda Madura Betawi emang ga pernah dianggap satu kesatuan di diskursus nasio manapun ya.,2022
2022-08-09,@SUNDA_FESS Samalut samalut ngentot asa deu kontol,2022
2022-11-17,Cina... Rasis Item... Rasis Putih... Rasis Kontol... Teman,2022
2022-09-08,@arifinpribadi Pulau Jawa sedari dulu nyembah DEWA DEWI eh ngeslam pendatang sok sok jadi PRIBUMI Toleransi hanya untuk menghargai agama ARAB ini Minoritas mah diam Bae dah AGAMA KONTOL ️️,2022
2022-03-11,Gua udah niat mau baik malah kelakuan macem kontol,2022
2022-05-13,@mwmekk @SUNDA_FESS Kontol teh naon a?,2022
2022-12-13,@SUNDA_FESS Bacot kontol bacot kontol,2022
2022-08-11,@Larryy_11 @kemalpalevi alah kontol giliran jawa aja lu bilang kuno tp kalo sunda betawi dll lu b aja gausa sok merasa paling modern lu jabodetabek kek paling oke aja lu kontol,2022
2022-02-01,@Robert_Piliang Yang hina Sunda dan Minang aman dan di lindungi oleh para kontol anjing,2022
2022-02-22,@SUNDA_FESS Odang remote kontol,2022
2022-12-17,@SUNDA_FESS KONTOL KONTOL KONTOL KABEH,2022
2022-11-06,@indodax Cina KONTOL Nasib kami di GALA gimana? Di Twitter official GALA mereka udh klarifikasi tidak ada akrivitas Hacked. Knp kau malah RUG PULL kan GALA CINA KONTOL,2022
2022-04-23,@bby_gvla Belajar yok teteh sunda kontol di ganti kanjut yok bisa yok,2022
2022-07-23,@kamipemula Sy jg gede...tp lebih enak kontol orng Sunda suka kangenin,2022
2022-10-07,@tanyakanrl buat mas mas nya kamu kontol mas,2022
2022-07-16,@shelysyantix Dimasukkin kontol Cina enak nihhh,2022
2022-10-14,Cape jg asli ngikutin semua ekstra mana jadi babu sekolah lagi jingkontod anjing kontol ngentod,2022
2022-09-24,lagian emang qrt ini tuh buat hirotaka ajg. qrt an gue yg lain menyangkut kacamata kotak jg buat hirotaka memek. jd si rifki dibawa bawa. pgn bgt apa lu gue bawa bawa nama temen lu yg cina itu di akun gue yg ini? kebanyakan salah paham sih lu kontol,2022
2022-08-29,@lgabyt kontol kabeh,2022
2022-08-19,Kontol cina maksudnya,2022
2022-06-07,@Srikandi_sunda @ntasanusa @CNNIndonesia @CSISIndonesia agen asing kontol....bos lu china2 parasit yg ada di Indonesia khan....anjing semua tuh...,2022
2022-07-29,@SUNDA_FESS kebacanya kontol,2022
2022-09-29,@SUNDA_FESS Kontol dina tarang era mah,2022
2022-11-13,@Denny09687511 @Heugweh @Aceh Manusia kontol bawa bawa Jawa anjing itu spanduk di Bogor bangsat bukan orang Jawa Bogor itu sukunya Sunda goblok. Asu....,2022
2022-11-08,@denji_abarai @gusbaster87 bukan jawa.. liyt context timur laut pulau jawa. madura yg d mksd. lu pikir jawa jamet smua. .kontol,2022
2022-10-05,@fluffycurvs @berbekelboii dah bosen liat kontol cina nya,2022
2022-05-10,@SUNDA_FESS si kontol dan si meki,2022
2022-01-13,Inget ga kasus sunda empire berdekatan sama kasus jiwa seraya.lalu kasus gisel dekat dengan kasus joko tjandra dan jaksa pinangki Xixixixixi... semua nya proyekan orang2 media sama elit.KONTOL,2022
2022-10-27,@SUNDA_FESS Mincong kaya kontol,2022
2022-05-07,@SUNDA_FESS Giliran disakiti ku lalaki asa paling tersakiti dan ngomong semua cowo sama aja kontol,2022
2022-07-26,@shitducktin @SUNDA_FESS Temen kontol naon?,2022
2022-08-11,CINA KONTOL,2022
2022-10-04,@cowobangkit Kaya pisan bahasa sunda mah nya om tinu kanjut geu bisa jadi babagug mamas kontol seer pisan lah om,2022
2022-08-05,@SUNDA_FESS halah kontol,2022
2022-08-17,@prostitushe Sunda juga kontol sebenernya,2022
2022-03-07,Masih aneh kalo ada yg bilang Mas jadi Mamas ke pacar atau ke siapa. Padahal tau kan di Bahasa Sunda Mamas itu kontol.,2022
2022-11-16,jawa kontol,2022
