created_at,full_text,year
2021-07-09,Ada saptam komplek meninggal gr2 covid pas diusut ternyata ada nuansa penelantaran dari pengurusnya jadi nunggu urunan warga dulu baru bergerak ngerawat.. heran gua orang udah kaya tinggal di komplek napa gak nalangin dulu sih?!?!?!?!?,2021
2021-11-02,@nur_iqbalsyah Kaannn orang kaya tak show off duit bal orang batak je camtu hahaha,2021
2021-12-28,Playa pinta,2021
2021-12-22,Pelaku berjumlah dua orang berinisial AW (38) dan RS (38) melakukan pencurian 30 karung beras di warung milik Daryono (46) yang berlokasi di Kelurahan Pringsewu Timur Senin (7/12). #publisherstory https://t.co/oTCQWu4jPP,2021
2021-06-21,Kebanyakan orang bilang logat gue bukan kaya logat sini lah kan gue bukan asli orang sini gimana sih.. Banyak yg ngira juga gue bukan orang jawa Logatku mirip orang batak ceunah,2021
2021-12-29,Magapahibalo ang resort kun san-o liwat ini nga maga bukas. https://t.co/40M9URNcx5,2021
2021-12-21,Belinda Prasasti merupakan anak perempuan semata wayang dari pasangan Laksono Putra dan Arshita Lestari. Belinda merupakan gadis keturunan timur tengah eits tetapi bukan Timur Tengah seperti yang kebanyakan orang kira.,2021
2021-01-26,Galakan adek malah. Dia klo marah kaya orang kesurupan. Beneran nurun umik gimana sih marahnya orang batak tuh. Beuh rasanya dunia kek mau kiamat. Tapi kalau tanggungjawab ya itu porsinya anak pertama,2021
2021-12-31,sumin pelo negro nooooo,2021
2021-12-27,Data survei kepuasan publik terhadap kinerja pemerintah Jokowi meningkat tajam selama beberapa bulan terakhir.Tingginya tingkat kepuasan ini tidak lepas dari usaha pemerintah dalam mengendalikan penyebaran covid-19 dan pemulihan ekonomi nasional. #RakyatPuasTerhadapJokowi https://t.co/mzGARTsd4C,2021
2021-10-25,@Ayah_Nahl @yudigembor @sahaL_AS Sejak kapan cara bunuh anjing kaya gitu? Serius sya nanya ente orang batak atau bukan?,2021
2021-12-29,@surly_nz Bruh...,2021
2021-10-17,@OLlVIARODRGO Namanya kaya orang batak,2021
2021-12-27,Scrolling down the tweets baru tahu yg menulisnya adalah orang nusantara jawa timur. Tak ada kaitan dgn ilmu agama. Kena clarify benda ni takut jatuh fitnah kpd agama je.,2021
2021-06-20,@noferdaoliasari @tkwpcnfak @YG_iKONIC Muka yg kaya orang Batak tu member Day6 woonpil gak si?? Junedi malah kaya keturunan Eropa. Tapi matanya sipit gak bisa boong,2021
2021-12-24,@jeremypeter_ @barcastuff_idn Biasanya orang yang pake Henna dari timur tengah atau India sih kalau gak salah,2021
2021-08-24,@macchhiato @pforqwerty @haejanie @AREAJULID Aku juga orang asli Medan melayu malah Logat medan ya kaya ngomong biasa kek orang sumatera laen kalo cakap cemana sedangkan kalo logat batak lebih ada nadanya lebih keras jugak.,2021
2021-12-30,GANG GANG,2021
2021-12-22,Pagi tadi Rabu (22/12/2021) personel @satlantasklp membantu mendorong gerobak pedagang kaki lima saat menyeberangi perlintasan kereta api di Teteg Timur Wates. . Dan berbuat baiklah (kepada orang lain) sebagaimana Allah telah berbuat baik kepadamu. (QS al-Qashash [28]: 77) https://t.co/AkMKNjI9KS,2021
2021-08-31,@salembeee @Sunda_Fess Jiga nu boga kontol wae,2021
2021-12-26,@SiaranBolaLive Main main sama orang timur nanti di ludahi nangeees,2021
2021-12-31,@LARIK28 de 3 colores akhfkshf gris negro y azul kahfksjf,2021
2021-12-24,@keuangannews_id Islam Nusantara Adalah Islam Yang Sejati Bukan Islam Abal-2 Model Timur Tengah (Arab) Yang Datang Sebagai Penjajah Orang bilang begini jelas sesat Islamnya.. https://t.co/XekiilFSFZ,2021
2021-12-28,@splenextic tapi kaya org negro gaksih,2021
2021-12-22,Mau melakukan aktivitas air ekstrim Anda perlu mencoba keseruan #rafting #tubing di Jawa Timur harga mulai 500Rb /orang || Climax Adventure,2021
2021-06-20,@svshitay biar apa kaya sih kaya gitu orang? Biar dilirik mau panggung lo yah? atau lo capek cari mutualan sana sini kaga dapet makanya kaya gini? Astaga emosi tau gak jgn ampe bahasa batak gue keluar disini yahnyuwimc,2021
2021-12-27,Awkward moment after one year 2 month tak jumpa babah. . Alhamdulillah dengan izin Allah dapat disatukan kembali dengan orang yang kita sayang. Syukur padaMu Ya Allah. ️ . . Kredit Video : @farhanahfatin93 https://t.co/YWcqW8aPS7,2021
2021-12-21,@zt000tz Sebagai orang pantai timur ini tidak benar. Banjir setiap tahun sepatutnya kerajaan negeri perlulah lakukan sesuatu untuk kurangkan risiko keselamatan. Terutama pembalakan. Jangan rodok hutan!,2021
2021-10-02,@everywwon_woo Berarti secara tidak langsung warga korsel tuh tipe lagu favoritnya yg kaya lagu orang batak (?),2021
2021-06-30,@watchfess Wajahnya kaya orang batak juga nder.,2021
2021-12-29,OFFICIAL Paulo Sousa diumumkan menjadi manajer baru Flamengo. Sousa dapatkan kontrak dua musim dari Rubro-Negro. #IMC https://t.co/5VXD19gIWP,2021
2021-08-23,Ini Keiju kaya orang Batak,2021
2021-12-25,Kalau tdk cedera Sadil Ramdhani.. harusnya 4 orang sulawesi yang menghajar singapura. Ini pelajaran untuk pemerintah dan PSSI. Buat sekolah bola di seluruh indonesia timur. Sebab fisik mereka jauh lebih kuat. Gimana tdk kuat masih kecilnya main bola pakai 1 biji kelapa tua.,2021
2021-12-25,@Munir_Timur @aniesbaswedan Mentalnya kalah sama HARUN Laskar Pelangi. Bukannya promoin program dia yg katanya pengen jd Presiden kok malah menabur benci pada orang yg blum ngomong apapun tentang pencaloban presiden. Bodohnya udah pangkat 7 ni orang. Pantas aja Niji aja ogah nrima dia lg.,2021
2021-12-04,@SantorinisSun Wah si @Nicho_Silalahi makin songong ini memainkan rasis .... cari makan kok kaya gini amat sekasar kasarnya orang Batak gak songong kaya lu,2021
2021-12-28,PW WPN-RWA-06604-B - Armario para servidor de red (6U/19 ) 540 x 450 x 310 mm negro Baja de 76 27 a 55 97€ https://t.co/j99JLd8hPK https://t.co/k5LVvyx0lF,2021
2021-12-22,orang timur jadi penyair puisi-puisian aja udah aneh,2021
2021-12-08,@stafsuscolonial Ga ada tuh yang manggil kaya gitu. Ke orang jawa ya mas sunda aa batak lae Cina ya koh atau nci. Simpel kan?,2021
2021-12-28,@Amazonomachia1 Perdi u.u,2021
2021-06-29,@Ubay91325964 Masukin kontol Bru mau,2021
2021-05-07,Melayu kalau kaya mula la batak. Flex sana sini. Last last keje duk scam orang. LHDN patut banyak habis masa tgk kat IG tu. Lain macam punya flex acah founder itu ini,2021
2021-12-24,@OposisiCerdas Saya terlahir di tengah keluarga prajurit Ayah saya pernah ikut dalam operasi Seroja Di Timor Timur kedua Adik Saya saat ini di AU &amp; AD Keduanya Lulus pendidikan Secaba. bandung . tapi orang tua kami tidak pernah seperti itu bersikap lah layaknya pelindung BUKAN preman.,2021
2021-12-22,Good dah berapa orang dari pantai Timur aku jumpa cakap benda benda yang sama. Nak tanya kalau kat sana kalau banjir kalau takde bantuan makanan or ada family terperangkap. Memang redha je eh?,2021
2021-12-28,Dale Rt,2021
2021-12-27,@_lonelyteenager @hrdbacot Review lg tuh standar masih relevan atau ga,2021
2021-12-29,seneng bgt jalanjalan sm orang yg gak mageran timur ke barat selatan ke utara gas terus ngeeeng.,2021
2021-05-12,@rizkyanandax @akuamerrrrr @Sunda_Fess Kontol mereun,2021
2021-12-18,@jhswithluv lu ngomong kaya orang batak,2021
2021-11-07,@bertanyarl Kanjut tuh bahasa sunda yg artinya kontol,2021
2021-12-22,Seneng banget liat kegiatan orang pak pik puk pagi2 di terminal ada yg sarapan sambil ngobrol ngepel lantai terminal jaga loket ngopi ngejar bis ngatur2 barang parkirin bis. Jadi bisnya itu ada area2nya sesuai jalur misal jalur sumatera sama jalur jawa tengah/timur/denpasar.,2021
2021-12-23,ini episodenya mengingatkanku pas nonton dibilang kakak itu kenapa yang nyanyi kaya orang batak nyanyi,2021
2021-08-24,orang jepang kaya orang batak ya bund,2021
2021-12-25,@__KangMasMo3__ @Munir_Timur @aniesbaswedan Orang pintar sulit didapat,2021
2021-12-22,Ditemukan Orang Terlantar Bernama : Nurhidayati ( yana ) Usia 35 thn Mengaku Tinggal di : Desa/Kel. Pasurungan Kidul Kec. Tegal Barat Kota Tegal. Nama saudara: Ibu Nurdiana Bpk Jamiat dan bpk jaenudin. Saat ini Berada di PSBI BD2 Cipayung Jakarta Timur. Hub 085715331014 ( wendy ) https://t.co/FORZHVKJtM,2021
2021-12-24,Tapi ya gitu... Malemnya lumayan lah ya. Gak pernah terdengar interaksi orang. Kadang emang barang yang kaya jatuh gitu aja. Atau nggak yang jatuh itu tikus. Tempat singgahku itu nempel sama si rumah megah di sebelah timur. Tersekat tembok 5 meter an,2021
2021-12-27,@PutieBahara Lagian indo luas bentukan orangnya ya beda beda juga.. muka orang melayu batak jawa dan indonesia bagian timur juga ad khas nya sendiri... Jgn karena mayoritas kulit cokelat atau mata lebar yg fisiknya ga begitu dibilang bukan muka indo,2021
2021-04-11,@Sunda_Fess Kacepet kontol jejeretean,2021
2021-02-17,maap bgt elsa mas al otak nya fast respon gak kaya laki lu delay sampe 4 tahun #IkatanCintaEp170,2021
2021-12-25,@honey3gp TIMUR TENGGARA SELATAN BARAT TAK BOSAN AKU LIAT ORANG UNDRY,2021
2021-01-22,@subtanyarl Hampir mirip sih kaya cerita bapak dan mama gua jadi mama gua tuh orang batak dan beragam Kristen setelah lulus sekolah mama gua merantau dari Medan ke Jakarta untuk kerja nah di tempat kerja ini lah mama gua ketemu bapak gua yang beragama Islam awalnya sih mama gua tuh biasa aj,2021
2021-10-18,buset sampe emak gue sendiri bilang kalo muka gue kaya orang batak,2021
2021-12-17,mukanya jooyeon kaya orang batak,2021
2021-11-11,@kkaibears tp emg muka jo kaya orang batak,2021
2021-12-29,Peda pa madden,2021
2021-12-27,Banyak orang Malaysia sedang ribut dengan Fathul Izar dikatakan berasal dari Jawa Timur. Aku pun yang sudah pernah tinggal di Jawa Timur tidak pernah mendengarnya,2021
2021-08-21,@Sunda_Fess Kontol,2021
2021-04-18,Wkwkwkw seringggg. Aku terlalu sering dikira batak karna logatku yang ga kaya orang nias pada umumnya. Dan yang gatau kalo 'gea' itu margaku malah pernah nanya pop margamu apa? wkwkwk it have been there since 1999 baby karna mamaku suku karo jd aku jatohnya nyampur gini,2021
2021-08-04,Ga usah heran toh orang batak setau gw klo meninggal acaranya dah kaya perayaan pake nyanyi2 cuman ya itulah adat,2021
2021-12-08,@bontot__ Mamas kalo bhs sunda artinya kontol,2021
2021-12-17,monchis tuh mirip bgt sama anak tetanggaku alias kaya orang batak,2021
2021-12-29,@itstaatiss Mejor Rauw,2021
2021-12-14,Sering dibilang orang Batak dari sisi sebelah mana muka saya kaya orang Batak ya?,2021
2021-12-27,@ohmybeautybank Pernah liat di tt kalo mau milih penjepit buku mata tergantung bentuk mata kita sendiri gimana. Ada yg nyaranin kalo bntk mata kyk orang asia timur belilah brand asia tinur dll,2021
2021-12-21,Melainkan dia berasal dari Papanya yang asli orang Jawa Timur (Surabaya) dan Mamanya berasal dari Jawa Tengah (Semarang). Belinda mempunyai nama belakang Lakshita yang tidak lain merupakan nama gabungan dari Papa dan Mamanya.,2021
2021-06-24,@lenishintyanew Bagi suku Batak cicak dijadikan simbol karena cicak bisa hidup baik di dalam rumah orang kaya orang miskin bahkan rumah tak berpenghuni. Cicak menumpang hidup di rumah siapapun tidak meminta makan atau menyusahkan si empunya rumah malah membantunya dengan memangsa nyamuk..,2021
2021-12-29,Ahahahahaahahahahahah,2021
